Elo	Username	W	L	T	Last update
1045	wewrbgewdc	1	0	0	Fri Jul 08 2022 21:49:40 GMT-0400 (Eastern Daylight Time)
1000	analysis geek	0	1	0	Fri Jul 08 2022 21:49:40 GMT-0400 (Eastern Daylight Time)
